source	target	value
Bangladesh Center for Communication Programs	Bangladesh Center for Communication Programs - BCCP	1
Bangladesh Center for Communication Programs	Bangladesh Center for Communication Programs	1
Bangladesh Center for Communication Programs	BCCP - Bangladesh Center for Communication Programs	1
Cardiff U - JOMEC	Cardiff U	14
Cardiff U - JOMEC	Cardiff U - JOMEC	12
Cardiff U - JOMEC	Birmingham City U	2
Quinnipiac U	National Research U High School of Economics	1
Quinnipiac U	Ohio State U	3
Quinnipiac U	Quinnipiac U	8
Quinnipiac U	George Mason U	1
Quinnipiac U	Central Michigan	1
Nanjing U	Hong Kong Polytechnic U	1
Nanjing U	Nanjing U	1
Nanjing U	City U of Hong Kong	1
Utah State U	Western Kentucky U	1
Utah State U	George Mason U	4
Utah State U	Massey U	2
Utah State U	Utah State U	13
Utah State U	U of Utah	3
Utah State U	Purdue U	11
Utah State U	Yale U	2
Utah State U	Penn State U	6
U of Michigan - Dearborn	U of Michigan - Dearborn	2
Leibniz-Institut fuer Wissensmedien	Knowledge Media Research Center	2
Leibniz-Institut fuer Wissensmedien	IWM Tuebingen	2
Leibniz-Institut fuer Wissensmedien	Leibniz-Institut fuer Wissensmedien	3
VU U Amsterdam	VU U -  Amsterdam	6
VU U Amsterdam	U of Vienna	1
VU U Amsterdam	Wake Forest U	2
VU U Amsterdam	ASCoR U of Amsterdam	2
VU U Amsterdam	Utrecht U/ Tilburg U	1
VU U Amsterdam	VU Amsterdam	2
VU U Amsterdam	U of Amsterdam / ASCoR	1
VU U Amsterdam	Erasmus U Rotterdam	4
VU U Amsterdam	VU U - Amsterdam	9
VU U Amsterdam	U of Amsterdam	12
VU U Amsterdam	Radboud U Nijmegen	3
VU U Amsterdam	Radboud U	7
VU U Amsterdam	VU U Amsterdam	184
VU U Amsterdam	Northwestern U	2
VU U Amsterdam	Utrecht U	1
VU U Amsterdam	U of Groningen	2
VU U Amsterdam	Leiden U	2
VU U Amsterdam	NHTV Breda U of Applied Sciences	3
VU U Amsterdam	Department of Language and Communication	1
VU U Amsterdam	VU U	3
VU U Amsterdam	U of Texas - Austin	2
Hope College	Texas A&M U	4
Hope College	Hope College	5
Hope College	Texas A and M U	1
Hope College	U of Michigan - Flint	1
Denison U	Denison U	2
Austrian Academy of Sciences - Institute for Comparative Media and Communication Studies	Austrian Academy of Sciences - Institute for Comparative Media and Communication Studies	1
Austrian Academy of Sciences - Institute for Comparative Media and Communication Studies	U of Vienna	3
The Media School / Indiana U Bloomington	The Media School / Indiana U Bloomington	2
U of Texas Austin	U of Texas Austin	1
U of Texas Austin	Ohio U	1
Penn State York	Penn State York	2
NO/AIDS Task Force	Tulane U	2
NO/AIDS Task Force	AIDS Help Inc.	2
NO/AIDS Task Force	Camp Rehoboth	2
NO/AIDS Task Force	Medical College of Wisconsin	2
NO/AIDS Task Force	U of Denver	2
NO/AIDS Task Force	U of Colorado - Denver	2
NO/AIDS Task Force	Virginia Commonwealth U	6
NO/AIDS Task Force	NO/AIDS Task Force	4
Emory U	U of Georgia	39
Emory U	Emory U	27
Emory U	Morehouse U	9
Emory U	Spelman College	9
National Institute for Environmental Studies	National Institute for Environmental Studies	8
U of Wisconsin-Whitewater	Arizona State U	1
U of Wisconsin-Whitewater	U of Texas-Pan American	1
U of Wisconsin-Whitewater	U of Wisconsin-Whitewater	2
U of Wisconsin-Whitewater	Southern Illinois U - Carbondale	1
U of Wisconsin-Whitewater	Central Connecticut State U	1
U of Wisconsin-Whitewater	U of Cincinnati	1
U of Wisconsin-Whitewater	Purdue U	1
U of Wisconsin-Whitewater	DePaul U	1
U of Wisconsin-Whitewater	National U of Singapore	1
U of Wisconsin-Whitewater	Ohio	1
New Mexico State U	New Mexico State U	1
U of Bonn	U of Bonn	1
U of Puerto Rico Río Piedras Campus	U del Este	2
U of Puerto Rico Río Piedras Campus	U of Puerto Rico Río Piedras Campus	5
U at Buffalo State U of New York	U of Buffalo - SUNY	2
U at Buffalo State U of New York	U at Buffalo State U of New York	4
U at Buffalo State U of New York	U At Buffalo	2
U at Buffalo State U of New York	SUNY-Buffalo	2
U at Buffalo State U of New York	U at Buffalo	6
U at Buffalo State U of New York	SUNY Oneonta	1
U at Buffalo State U of New York	SUNY - Buffalo	2
U of Colorado	U of Colorado	6
U of Colorado	U of Colorado - Boulder	1
Emerson College	Northeastern U	1
Emerson College	U of Pennsylvania	5
Emerson College	Fordham U	1
Emerson College	Emerson College	6
Emerson College	Suffolk U	1
Emerson College	Massachusetts General Hospital	1
U at Buffalo - SUNY	SUNY IT	2
U at Buffalo - SUNY	U at Buffalo - SUNY	2
U at Buffalo - SUNY	U of Pennsylvania	2
U at Buffalo - SUNY	U of San Francisco	2
Carnegie Mellon U	Tilburg U	1
Carnegie Mellon U	Carnegie Mellon U	1
Carnegie Mellon U	MIT Center for Collective Intelligence	3
U of Huddersfield	U of Huddersfield	1
Philipp U of Marburg	U Koblenz-Landau	4
Philipp U of Marburg	Philipp U of Marburg	4
Pontificia Universidad Católica de Chile	Pontificia Universidad Católica de Chile	1
Pontificia Universidad Católica de Chile	Pontificia Universidad Catolica de Chile	1
Governors State U	Governors State U	2
Governors State U	DePaul U	6
Bonn U	Bonn U	1
Aberystwyth U	Aberystwyth U	1
OCAD U	OCAD U	1
The U of Texas at San Antonio	The U of Texas at San Antonio	3
U Milano Bicocca	Catholic U of Milan	1
U Milano Bicocca	U Milano Bicocca	1
U Milano Bicocca	U of Zagreb	3
U Milano Bicocca	U degli Studi di Bergamo	1
U Milano Bicocca	Universita' Cattolica del Sacro Cuore	1
U Complutense de Madrid	U Complutense de Madrid	2
U of Leuven  - School for Mass Communication Research	U of Leuven - School for Mass Communication Research	1
U of Leuven  - School for Mass Communication Research	U of Leuven  - School for Mass Communication Research	3
U of Leuven  - School for Mass Communication Research	U of Leuven	2
Vassar College	Vassar College	1
U Federal de Minas Gerais	U Federal de Minas Gerais	9
U Federal de Minas Gerais	U of Amazonia (Unama)	3
U Federal de Minas Gerais	Federal U of Minas Gerais (UFMG)	3
U Federal de Minas Gerais	FEDERAL UNIVERSITY OF MINAS GERAIS	3
U of Antwerp	U of North Carolina - Chapel Hill	1
U of Antwerp	U of Copenhagen	2
U of Antwerp	U of Perugia	2
U of Antwerp	U di Perugia	2
U of Antwerp	U of Antwerp - Department of Communication Studies	2
U of Antwerp	Hans-Bredow-Institut	2
U of Antwerp	Erasmus U Rotterdam	1
U of Antwerp	Hebrew U of Jerusalem	1
U of Antwerp	U of Barcelona	1
U of Antwerp	U of Geneva	2
U of Antwerp	Hans Bredow Institute for Media Research	2
U of Antwerp	U of North Dakota	1
U of Antwerp	LMU Munich	2
U of Antwerp	U of Antwerp	126
U of Antwerp	U of Mannheim	1
U of Antwerp	U of Salford	2
U of Antwerp	iMinds-MICT-UGent	3
U of Antwerp	U of Alabama	1
U of Antwerp	Universiteit Antwerpen	1
U of Antwerp	U of Southampton	1
U of Antwerp	U of Amsterdam	1
U of Antwerp	The Hebrew U of Jerusalem	1
U of Antwerp	Aarhus U	1
Lucile Packard Children's Hospital	Stanford U	24
Lucile Packard Children's Hospital	Lucile Packard Children's Hospital	32
Nanyang Technological U	U of Missouri	1
Nanyang Technological U	Nanyang Techological U	9
Nanyang Technological U	Amsterdam School of Communication Research	1
Nanyang Technological U	U of Erfurt	2
Nanyang Technological U	National Chiao Tung U	1
Nanyang Technological U	U of Southern California - Annenberg School for Communication	1
Nanyang Technological U	City U of Hong Kong	2
Nanyang Technological U	U of Amsterdam	2
Nanyang Technological U	Wuhan U	2
Nanyang Technological U	Michigan State U	3
Nanyang Technological U	Peru Ministry for Development and Social Inclusion	1
Nanyang Technological U	Bradley U	1
Nanyang Technological U	Nanyang Technological U	221
Nanyang Technological U	Zurich U of Applied Sciences	1
Nanyang Technological U	Iowa State U	2
Nanyang Technological U	Wayne State U	6
Nanyang Technological U	U of Texas - Austin	1
Nanyang Technological U	Cornell U	1
Nanyang Technological U	Kent State U	2
Nanyang Technological U	WKWSCI Nanyang Techonological U	4
Nanyang Technological U	National Institute of Education	1
College of Management Academic Studies	U Lusófona	1
College of Management Academic Studies	Lusofona U	1
College of Management Academic Studies	Hebrew U - Mt. Scopus	1
College of Management Academic Studies	College of Management Academic Studies	3
College of Management Academic Studies	Ben-Gurion U of the Negev	1
Hongik U	U of Wisconsin_Madison	1
Hongik U	Korea U	1
Hongik U	The Chinese U of Hong Kong	2
Hongik U	West Virginia U	1
Hongik U	U of Wisconsin-Madison	2
Hongik U	U of Wisconsin	1
Hongik U	Hongik U	6
U of Queensland/U of Western Sydney	U of Queensland/U of Western Sydney	2
U of Minnesota	Ohio State U	1
U of Minnesota	JMG U of Gothenburg / The IT U of Copenhagen	1
U of Minnesota	U of Cincinnati	1
U of Minnesota	Minnesota State U Mankato	1
U of Minnesota	Marquette U	2
U of Minnesota	The Ohio State U	1
U of Minnesota	U of Utah	1
U of Minnesota	U of Miami	1
U of Minnesota	U of Minnesota	40
U of Minnesota	Cornell U	1
U of Minnesota	U of Texas - Austin	1
U of Quebec in Montreal (UQAM)	U Catolica de la Santisima Concepcion	1
U of Quebec in Montreal (UQAM)	U of Quebec in Montreal (UQAM)	2
U of Illinois at Urbana-Champaign	U of Buffalo - SUNY	1
U of Illinois at Urbana-Champaign	U of Illinois at Urbana–Champaign	6
U of Illinois at Urbana-Champaign	U of Buffalo	1
U of Illinois at Urbana-Champaign	U of Illinois Urbana Champaign	1
U of Illinois at Urbana-Champaign	U of Illinois at Urbana Champaign	1
U of Illinois at Urbana-Champaign	Seoul National U	1
U of Illinois at Urbana-Champaign	U of Illinois	1
U of Illinois at Urbana-Champaign	U of Illinois at Urbana-Champaign	8
Tufts U School of Medicine	Boston College	6
Tufts U School of Medicine	Tufts U School of Medicine	2
U of Alabama	U of Alabama	83
U of Alabama	U of Texas-Pan American	2
U of Alabama	U of Alabama/UNC Chapel Hill	6
U of Alabama	The U of Alabama	11
U of Alabama	San Diego State U	1
U of Alabama	U of North Dakota	1
U of Alabama	Mikonics	1
U of Alabama	Erasmus U Rotterdam	1
U of Alabama	The Chinese U of Hong Kong	2
U of Alabama	U of Wuerzburg	3
U of Alabama	Michigan State U	3
U of Alabama	U of Antwerp	1
U of Alabama	DePaul U	1
U of Alabama	Penn State	1
U of Alabama	Pennsylvania State U	1
U of Alabama	Boston U	1
U of Alabama	Klein Buendel Inc.	2
U of Alabama	Wuerzburg U	3
U of Illinois at Urbana–Champaign	U of Buffalo - SUNY	1
U of Illinois at Urbana–Champaign	U of Illinois at Urbana–Champaign	60
U of Illinois at Urbana–Champaign	U of Pennsylvania	6
U of Illinois at Urbana–Champaign	U of Buffalo	1
U of Illinois at Urbana–Champaign	U of Michigan Ann Arbor	3
U of Illinois at Urbana–Champaign	UC Santa Barbara	2
U of Illinois at Urbana–Champaign	Dana-Farber Cancer Institute and Harvard School of Public Health	1
U of Illinois at Urbana–Champaign	Hong Kong Baptist U	1
U of Illinois at Urbana–Champaign	Annenberg School for Communication U of Pennsylvania	2
U of Illinois at Urbana–Champaign	U of Illinois at Urbana Champaign	2
U of Illinois at Urbana–Champaign	Seoul National U	2
U of Illinois at Urbana–Champaign	U of Illinois Urbana Champaign	2
U of Illinois at Urbana–Champaign	U of Illinois	3
U of Illinois at Urbana–Champaign	U of Illinois at Urbana-Champaign	6
U of Illinois at Urbana–Champaign	Memorial Sloan-Kettering Cancer Center	4
Villanova U	U of Houston	3
Villanova U	Villanova U	5
Villanova U	Porter Novelli	1
Villanova U	Communica PR Consulting	1
U of Oxford	London School of Economics and Political Science	1
U of Oxford	U of Twente / GW / CW	1
U of Oxford	U of Oxford	3
California State U - Northridge	California State U - Northridge	2
U Koblenz-Landau	U Koblenz-Landau	5
U Koblenz-Landau	Ars Electronica Futurelab	1
U Koblenz-Landau	U of Osnabrueck	1
U Koblenz-Landau	U of Koblenz-Landau	2
U Koblenz-Landau	Philipp U of Marburg	4
Uppsala U	U of Zurich	1
Uppsala U	Uppsala U	3
U of Rotterdam	U of Rotterdam	1
National Research U – Higher School of Economics	National Research U – Higher School of Economics	2
National Research U – Higher School of Economics	National Research U Higher School of Economics	1
Eastern China Normal U	Eastern China Normal U	1
Salem State U	Imperial College London	1
Salem State U	U of California Santa Barbara	1
Salem State U	U of Florida	1
Salem State U	U of Arizona	2
Salem State U	Salem State U	2
Salem State U	U of Oklahoma	6
The U of Oklahoma	Arizona State U	1
The U of Oklahoma	U of California Santa Barbara	1
The U of Oklahoma	U of Florida	1
The U of Oklahoma	U of Arizona	2
The U of Oklahoma	The U of Oklahoma	4
The U of Oklahoma	U of Oklahoma	12
U of Massachusetts Amherst	U of Massachusetts Amherst	4
U of Massachusetts Amherst	Yale U	1
U of Illinois - Urbana Champaign	U of Illinois - Urbana Champaign	1
Ramapo College of New Jersey	Dalhousie U	3
Ramapo College of New Jersey	Ramapo College of New Jersey	1
KU Leuven	KU Leuven	13
KU Leuven	Indiana U	1
KU Leuven	Catholic U - Leuven	5
KU Leuven	U of Leuven	7
North Carolina State U	College of Charleston	1
North Carolina State U	North Carolina State U	66
North Carolina State U	DePaul U	2
North Carolina State U	Ohio U	1
Jefferson Hoye LLC	Northeastern U	6
Jefferson Hoye LLC	Jefferson Hoye LLC	1
Jefferson Hoye LLC	U of Chicago	1
U Pompeu Fabra	U Pompeu Fabra	1
U of Hamburg	U of Zurich	6
U of Hamburg	U of Hamburg	2
U of Hamburg	U of Vienna	2
Peru Ministry for Development and Social Inclusion	Peru Ministry for Development and Social Inclusion	1
Peru Ministry for Development and Social Inclusion	Nanyang Technological U	1
Peru Ministry for Development and Social Inclusion	U of Southern California - Annenberg School for Communication	1
Ruhr U Bochum	U of Cologne	1
Ruhr U Bochum	Ghent U	2
Ruhr U Bochum	Ruhr U Bochum	4
Ruhr U Bochum	U Muenster	1
Ruhr U Bochum	Virginia Tech	1
Ruhr U Bochum	iMinds-MICT-UGent	1
Aarhus U	IULM U	1
Aarhus U	U of North Carolina - Charlotte	1
Aarhus U	BSS - Aarhus U	1
Aarhus U	U of Tennessee	1
Aarhus U	U of Southampton	1
Aarhus U	U of Amsterdam	1
Aarhus U	U of Antwerp	1
Aarhus U	U of Mannheim	1
Aarhus U	Aarhus U	10
Aarhus U	U of Barcelona	1
Aarhus U	U of Geneva	2
Aarhus U	U of North Carolina - Chapel Hill	1
National U of Singapore	Arizona State U	1
National U of Singapore	American U of Beirut	1
National U of Singapore	U of Texas-Pan American	1
National U of Singapore	Institute of Policy Studies Singapore	1
National U of Singapore	U of Wisconsin-Whitewater	1
National U of Singapore	Massey U	3
National U of Singapore	Central Connecticut State U	1
National U of Singapore	U of Cincinnati	1
National U of Singapore	Purdue U	1
National U of Singapore	DePaul U	1
National U of Singapore	National U of Singapore	43
National U of Singapore	Ohio	1
Wayne State U	U of Kentucky	2
Wayne State U	TCU	2
Wayne State U	Nanyang Technological U	6
Wayne State U	Arkansas State U	4
Wayne State U	Ohio State U	2
Wayne State U	Wayne State U	82
Wayne State U	U of Houston	4
Wayne State U	Cornell U	6
Wayne State U	Louisiana State U	2
Western New England U	Western New England U	1
Trinity U	Trinity U	2
Trinity U	U of South Florida	1
Tallinn U	Tallinn U	1
Birmingham City U	Cardiff U - JOMEC	2
Birmingham City U	Birmingham City U	4
U of Louisiana at Monroe	U of Louisiana at Monroe	1
U of Louisiana at Monroe	Young Harris College	1
U of Louisiana at Monroe	Louisiana State U	1
Edelman	U of Georgia	3
Edelman	Edelman	1
IWM Tuebingen	Knowledge Media Research Center	2
IWM Tuebingen	IWM Tuebingen	2
IWM Tuebingen	Leibniz-Institut fuer Wissensmedien	2
U of Alabama/UNC Chapel Hill	U of Alabama	6
U of Alabama/UNC Chapel Hill	U of Alabama/UNC Chapel Hill	2
U of Alabama/UNC Chapel Hill	The U of Alabama	3
Hollins U	U of Wisconsin-Madison	8
Hollins U	Hollins U	2
Izmir U of Economics	Izmir U of Economics	1
Muhlenberg College	Muhlenberg College	1
U of Wisconsin Madison	U of Wisconsin-Madison	1
U of Wisconsin Madison	U of Wisconsin Madison	1
U of Wisconsin Madison	U of Wisconsin-Madions	1
Waikato Tainui College	Rauawaawa Kaumatua Charitable Trust	1
Waikato Tainui College	U of Waikato	2
Waikato Tainui College	Waikato Tainui College	1
Austin Peay State U	Austin Peay State U	2
Austin Peay State U	U of Wisconsin-Madison	2
Johns Hopkins SAIS	Johns Hopkins SAIS	1
Johns Hopkins SAIS	American U	1
Waukesha County Technical College	Waukesha County Technical College	1
Waukesha County Technical College	U of Wisconsin-Milwaukee	2
Moffitt Cancer Center	U of Utah	4
Moffitt Cancer Center	U of Dallas	1
Moffitt Cancer Center	Moffitt Cancer Center	1
U of Santiago	Texas Tech U	1
U of Santiago	U Nacional de la Matanza	1
U of Santiago	U Iberoamericana	1
U of Santiago	Instituto de Altos Estudios Nacionales	1
U of Santiago	U de la Habana	2
U of Santiago	U Federal de Santa Catarina	1
U of Santiago	U of Santiago	2
Birkbeck U of London	Birkbeck U of London	4
U of Arkansas - Fort Smith	U of Arkansas - Fort Smith	1
U Bergen	U of Bergen	5
U Bergen	U Bergen	2
U of Wuerzburg	U of Alabama	3
U of Wuerzburg	U of Wuerzburg	5
U of Wuerzburg	Wuerzburg U	1
Central European U	U of Washington	1
Central European U	Central European U	1
German Sport U Cologne	German Sport U Cologne	2
German Sport U Cologne	U of Vienna	2
Free U of Berlin	Free U of Berlin	1
Gonzaga U	Gonzaga U	1
Fundacion Democracia y Desarrollo	Fundacion Democracia y Desarrollo	3
Fundacion Democracia y Desarrollo	U of Washington	1
Lusofona U	Lusofona U	6
Lusofona U	U Lusófona	4
Lusofona U	CICANT-ULHT	2
Lusofona U	Hebrew U - Mt. Scopus	1
Lusofona U	College of Management Academic Studies	1
Lusofona U	Ben-Gurion U of the Negev	1
Rollins College	Rollins College	1
Westfaelische Wilhelms-Universitaet Muenster	U of Muenster	1
Westfaelische Wilhelms-Universitaet Muenster	Westfaelische Wilhelms-U Muenster	4
Westfaelische Wilhelms-Universitaet Muenster	Westfaelische Wilhelms-Universitaet Muenster	10
U of Queensland	Saint Francis Xavier U	2
U of Queensland	U of Queensland	21
U of Queensland	Queensland U of Technology	3
U of Queensland	Queensland Health	2
Penn State U-U Park	Penn State U-U Park	1
Department of information science and media studies / U of Bergen	Department of information science and media studies / U of Bergen	2
U of California Davis	U of California - Davis	2
U of California Davis	U of California Davis	2
Claremont Graduate U	Claremont Graduate U	20
SUNY Oneonta	SUNY Oneonta	1
SUNY Oneonta	U of Buffalo - SUNY	1
SUNY Oneonta	U at Buffalo State U of New York	1
SUNY Oneonta	U At Buffalo	1
SUNY Oneonta	U at Buffalo	3
Texas A&M U	Texas A&M U	14
Texas A&M U	Hope College	4
Texas A&M U	Texas A and M U	2
Franciscan U - Steubenville Dept. of Communication Arts	Franciscan U - Steubenville Dept. of Communication Arts	1
Franciscan U - Steubenville Dept. of Communication Arts	Southern Illinois U	1
U of California Riverside	U of California Riverside	1
U of California Riverside	Saint Vincent College	1
U of California Riverside	U of California - Riverside	1
Aurora U	Aurora U	1
U of Texas at Austin	U of Texas	4
U of Texas at Austin	UT Austin	1
U of Texas at Austin	U of Texas at Austin	26
U of Texas at Austin	U Municipal de Sao Caetano do Sul	1
U of Texas at Austin	U of Utah	1
U of Texas at Austin	U of Buffalo - SUNY	3
U of Texas at Austin	Fudan U	1
U of Texas at Austin	The Chinese U of Hong Kong	1
U of Texas at Austin	Univ. of Texas at Austin	1
U of Texas at Austin	U of California - Santa Barbara	2
U of Texas at Austin	San Diego State U	1
U of Texas at Austin	The U of Texas at Austin	6
U of Texas at Austin	Texas State U	3
U of Texas at Austin	U of Texas - Brownsville	2
U of Texas at Austin	U of Minho	1
U of Texas at Austin	U of Vienna	1
U of Texas at Austin	U of Texas - Austin	18
George Mason U	National Research U High School of Economics	1
George Mason U	U of Southern California	1
George Mason U	George Mason U	50
George Mason U	U.S. Outcomes Research Merk  and  Co. Inc.	3
George Mason U	Massey U	4
George Mason U	Quinnipiac U	1
George Mason U	U of Missouri	1
George Mason U	Northwestern U	1
George Mason U	U of Maryland	1
George Mason U	U of Arizona	2
George Mason U	Texas State U	8
George Mason U	Utah State U	4
George Mason U	U of Iowa	1
George Mason U	Yale U	6
George Mason U	Tilburg U	1
George Mason U	Georgetown U	2
George Mason U	Central Michigan	1
U of Puerto Rico	James Madison U	3
U of Puerto Rico	U of Puerto Rico	3
U of Wisconsin_Madison	U of Wisconsin-Madison	3
U of Wisconsin_Madison	U of Wisconsin	1
U of Wisconsin_Madison	U of Wisconsin_Madison	2
U of Wisconsin_Madison	Hongik U	1
U de la Habana	U Nacional de la Matanza	2
U de la Habana	U Iberoamericana	2
U de la Habana	Instituto de Altos Estudios Nacionales	2
U de la Habana	U de la Habana	4
U de la Habana	U Federal de Santa Catarina	2
U de la Habana	U of Santiago	2
Midwestern U	Brigham Young U	3
Midwestern U	Texas Tech	1
Midwestern U	Midwestern U	1
Universita' della Svizzera Italiana	Universita' della Svizzera Italiana	1
Universita' della Svizzera Italiana	U della Svizzera italian	2
California State U - Fullerton	Fairfield U	1
California State U - Fullerton	California State U - Fullerton	4
California State U - Fullerton	Central China Normal U	1
California State U - Fullerton	U of Waikato	1
Copenhagen Business School	U of California - Santa Barbara	2
Copenhagen Business School	U of California Santa Barbara	1
Copenhagen Business School	Copenhagen Business School	10
Copenhagen Business School	Copenhagen Business School; LSE	2
U of Bucharest	U of Bucharest	3
Penn State	Penn State	6
Penn State	U of Alabama	1
Penn State	Pennsylvania State U	5
Penn State	The Pennsylvania State U	1
U Hospital Careggi	Department of Education U of Bologna	1
U Hospital Careggi	U Hospital Careggi	1
Drexel U	Drexel U	2
Texas Tech U	Texas Tech U	103
Texas Tech U	Michigan State U	2
Texas Tech U	U of Memphis	1
Texas Tech U	U of Santiago	1
Texas Tech U	U of South Dakota	9
Texas Tech U	Brigham Young U	2
Texas Tech U	U of Wisconsin-Madison	4
Texas Tech U	Linfield College	1
Texas Tech U	U at Buffalo	2
Texas Tech U	Purdue U	1
Texas Tech U	Ohio State U	8
U of Wisconsin-Madions	U of Wisconsin-Madison	1
U of Wisconsin-Madions	U of Wisconsin Madison	1
U of Wisconsin-Madions	U of Wisconsin-Madions	1
Department of Education U of Bologna	Department of Education U of Bologna	1
Department of Education U of Bologna	U Hospital Careggi	1
U of Erlangen - Nuremberg	U of Erlangen - Nuremberg	1
Southwest Jiaotong U	Southwest Jiaotong U	1
California Lutheran U	California Lutheran U	3
California Lutheran U	U of California - Santa Barbara	1
California Lutheran U	The Pennsylvania State U	2
ITESO U	ITESO U	1
Dana-Farber Cancer Institute and Harvard School of Public Health	Stanford Prevention Research Center	1
Dana-Farber Cancer Institute and Harvard School of Public Health	U of Illinois	1
Dana-Farber Cancer Institute and Harvard School of Public Health	U of Illinois at Urbana–Champaign	1
Dana-Farber Cancer Institute and Harvard School of Public Health	Dana-Farber Cancer Institute and Harvard School of Public Health	2
Dana-Farber Cancer Institute and Harvard School of Public Health	Seoul National U	1
Research Center in Communication and Culture Catholic U of Portugal & Research Center in Applied Communication Culture and New Technologies Lusófona U	Research Center in Communication and Culture Catholic U of Portugal & Research Center in Applied Communication Culture and New Technologies Lusófona U	1
The U of Texas at Austin	U of Texas	4
The U of Texas at Austin	U of Texas at Austin	6
The U of Texas at Austin	U Municipal de Sao Caetano do Sul	1
The U of Texas at Austin	Michigan State U	2
The U of Texas at Austin	The U of Texas at Austin	20
The U of Texas at Austin	Texas State U	1
The U of Texas at Austin	U of Texas - Brownsville	2
The U of Texas at Austin	U of Minho	1
The U of Texas at Austin	U of Texas - Austin	7
U of Illinois at Urbana-Champai	U of Illinois at Urbana-Champai	1
U of Illinois at Urbana-Champai	UCLA	1
Illinois State U	New Jersey Institute of Technology	2
Illinois State U	U of Arkansas at Monticello	1
Illinois State U	Illinois State U	14
Highpoint U	U of Georgia	1
Highpoint U	Highpoint U	1
Highpoint U	Virginia Commonwealth U	1
Boston U	U of Alabama	1
Boston U	U of Pennsylvania	1
Boston U	Johns Hopkins U	1
Boston U	George Washington U	1
Boston U	Boston U	13
Boston U	U of Texas - Austin	1
Zeppelin U gemeinnuetzige GmbH	Zeppelin U gemeinnuetzige GmbH	1
Hanover U of Music Drama and Media	U of Bielefeld	1
Hanover U of Music Drama and Media	Hanover U of Music Drama and Media	27
Hanover U of Music Drama and Media	U of Music	1
Hanover U of Music Drama and Media	U of Mannheim	7
Paris Sorbonne U - CELSA	Paris Sorbonne U - CELSA	1
City U London	City U London	3
Ball State U	Hankuk U of Foreign Studies	1
Ball State U	Ball State U	1
Ball State U	Seoul National U	1
U of Music	Hanover U of Music Drama and Media	1
U of Music	U of Music	1
U of Music	U of Bielefeld	1
Fors Marsh Group	ASCoR U of Amsterdam	3
Fors Marsh Group	California State U - Long Beach	1
Fors Marsh Group	U of Amsterdam / ASCoR	1
Fors Marsh Group	Fors Marsh Group	2
Fors Marsh Group	Michigan State U	4
Fors Marsh Group	Academic Medical Center U of Amsterdam	1
National Research U Higher School of Economics	National Research U – Higher School of Economics	1
National Research U Higher School of Economics	National Research U Higher School of Economics	1
Medical College of Wisconsin	Tulane U	1
Medical College of Wisconsin	AIDS Help Inc.	1
Medical College of Wisconsin	Camp Rehoboth	1
Medical College of Wisconsin	Medical College of Wisconsin	1
Medical College of Wisconsin	U of Denver	1
Medical College of Wisconsin	U of Colorado - Denver	1
Medical College of Wisconsin	Virginia Commonwealth U	3
Medical College of Wisconsin	NO/AIDS Task Force	2
Pontificia U Católica de Chile	Universidad Diego Portales	1
Pontificia U Católica de Chile	U Diego Portales	1
Pontificia U Católica de Chile	U of Texas - Arlington	1
Pontificia U Católica de Chile	Pontificia U Católica de Chile	7
Pontificia U Católica de Chile	Pontificia Universidad Catolica de Chile	7
Pontificia U Católica de Chile	U of Oklahoma	1
Catholic U - Leuven	KU Leuven	5
Catholic U - Leuven	U of Leuven - School for Mass Communication Research	1
Catholic U - Leuven	Indiana U	1
Catholic U - Leuven	Catholic U - Leuven	6
Catholic U - Leuven	Erasmus U Rotterdam	1
Catholic U - Leuven	U of Leuven	4
National Institute of Informatics Japan	National Institute of Advanced Industrial Science and Technology	1
National Institute of Informatics Japan	Rissho U	1
National Institute of Informatics Japan	National Institute of Informatics Japan	2
National Institute of Informatics Japan	Ryerson U	1
National Institute of Informatics Japan	U of Toronto	1
National Institute of Informatics Japan	the Graduate U for Advanced Studies	1
Jacobs U Bremen	LMU Munich	1
Jacobs U Bremen	U of Zurich	1
Jacobs U Bremen	Jacobs U Bremen	1
Jacobs U Bremen	U of Mannheim	2
U at Albany SUNY	Temple U	1
U at Albany SUNY	Syracuse U	1
U at Albany SUNY	U at Albany SUNY	1
U at Albany SUNY	Colorado State U	4
U at Albany SUNY	U of Arizona	1
U at Albany SUNY	1st Playable Productions	1
U at Albany SUNY	U at Albany - SUNY	1
U of Tampa	U of Tampa	1
U of Hong Kong	Hong Kong Baptist U	2
U of Hong Kong	U of Hong Kong	1
The U of Alabama	U of Alabama	11
The U of Alabama	U of Alabama/UNC Chapel Hill	3
The U of Alabama	The U of Alabama	10
The U of Alabama	State U of New York at Cortland	2
Boston Children's Hospital Harvard U	Boston Children's Hospital Harvard U	1
Boston Children's Hospital Harvard U	Center on Media and Child Health	1
Boston Children's Hospital Harvard U	Boston Children's Hospital	1
U de Montreal	U de Montreal	5
U de Montreal	Universite de Montreal	2
Saint Louis U	Saint Louis U	2
Saint Louis U	U of Kentucky	9
Lakehead U	Lakehead U	1
New York Institute of Technology	New York Institute of Technology	1
U of Amazonia (Unama)	U Federal de Minas Gerais	3
U of Amazonia (Unama)	U of Amazonia (Unama)	1
U of Amazonia (Unama)	Federal U of Minas Gerais (UFMG)	1
